year,month,period,cpi_pct,boe_target_pct,above_target,note,period_dt,base_rate_pct,real_rate,rate_inflation_gap,inflation_target_miss,rolling_3m_avg_cpi
2019,1,2019-01,1.8,2.0,No,Pre-pandemic baseline,2019-01-01,0.75,-1.05,-1.05,-0.2,
2019,2,2019-02,1.9,2.0,No,,2019-02-01,0.75,-1.15,-1.15,-0.1,
2019,3,2019-03,1.9,2.0,No,,2019-03-01,0.75,-1.15,-1.15,-0.1,1.87
2019,4,2019-04,2.1,2.0,Yes,,2019-04-01,0.75,-1.35,-1.35,0.1,1.97
2019,5,2019-05,2.0,2.0,No,,2019-05-01,0.75,-1.25,-1.25,0.0,2.0
2019,6,2019-06,2.0,2.0,No,,2019-06-01,0.75,-1.25,-1.25,0.0,2.03
2019,7,2019-07,2.1,2.0,Yes,,2019-07-01,0.75,-1.35,-1.35,0.1,2.03
2019,8,2019-08,1.7,2.0,No,,2019-08-01,0.75,-0.95,-0.95,-0.3,1.93
2019,9,2019-09,1.7,2.0,No,,2019-09-01,0.75,-0.95,-0.95,-0.3,1.83
2019,10,2019-10,1.5,2.0,No,,2019-10-01,0.75,-0.75,-0.75,-0.5,1.63
2019,11,2019-11,1.5,2.0,No,,2019-11-01,0.75,-0.75,-0.75,-0.5,1.57
2019,12,2019-12,1.3,2.0,No,,2019-12-01,0.75,-0.55,-0.55,-0.7,1.43
2020,1,2020-01,1.8,2.0,No,Pre-COVID,2020-01-01,0.75,-1.05,-1.05,-0.2,1.53
2020,2,2020-02,1.7,2.0,No,,2020-02-01,0.75,-0.95,-0.95,-0.3,1.6
2020,3,2020-03,1.5,2.0,No,COVID lockdown begins,2020-03-01,0.1,-1.4,-1.4,-0.5,1.67
2020,4,2020-04,0.8,2.0,No,Demand collapse,2020-04-01,0.1,-0.7000000000000001,-0.7,-1.2,1.33
2020,5,2020-05,0.5,2.0,No,,2020-05-01,0.1,-0.4,-0.4,-1.5,0.93
2020,6,2020-06,0.6,2.0,No,,2020-06-01,0.1,-0.5,-0.5,-1.4,0.63
2020,7,2020-07,1.0,2.0,No,,2020-07-01,0.1,-0.9,-0.9,-1.0,0.7
2020,8,2020-08,0.2,2.0,No,,2020-08-01,0.1,-0.1,-0.1,-1.8,0.6
2020,9,2020-09,0.5,2.0,No,,2020-09-01,0.1,-0.4,-0.4,-1.5,0.57
