posting_id,job_title,company,sector,city,salary_min_gbp,salary_max_gbp,experience_required,degree_required,skills_required,working_arrangement,visa_sponsorship,date_posted,applicant_count,level,salary_midpoint,has_salary,requires_experience,is_london,skills_list,skill_count,salary_zscore
1,Data Analyst,Lloyds Banking Group,Finance,London,32000.0,36000.0,2+ years,Finance,Communication;Confluence;DAX;Data Analysis;KPI Reporting;Machine Learning;Microsoft Excel;Microsoft Office,Office,No,2024-04-01,871,Entry Level,34000.0,True,1,1,"['Communication', 'Confluence', 'DAX', 'Data Analysis', 'KPI Reporting', 'Machine Learning', 'Microsoft Excel', 'Microsoft Office']",8,-0.16
2,Graduate Business Analyst,HMRC,Public Sector,London,29000.0,32000.0,<1 year,2:1 or above any subject,ChatGPT/AI Tools;Communication;Confluence;DAX;Data Analysis;Forecasting;Power BI;PowerPoint,Hybrid,No,2025-03-01,601,Graduate,30500.0,True,0,1,"['ChatGPT/AI Tools', 'Communication', 'Confluence', 'DAX', 'Data Analysis', 'Forecasting', 'Power BI', 'PowerPoint']",8,-0.95
3,Graduate Business Analyst,Aviva,Finance,Birmingham,29000.0,33000.0,1 year,Economics,Agile;Business Intelligence;Confluence;Copilot;Data Analysis;Financial Modelling,Flexible,No,2026-03-01,162,Graduate,31000.0,True,1,0,"['Agile', 'Business Intelligence', 'Confluence', 'Copilot', 'Data Analysis', 'Financial Modelling']",6,-0.84
4,Financial Analyst,Accenture,Consulting,London,28000.0,31000.0,<1 year,2:1 or above any subject,Agile;Business Intelligence;Communication;Financial Modelling;Forecasting;Microsoft Office;Pivot Tables;Power BI,Office,No,2025-07-01,274,Entry Level,29500.0,True,0,1,"['Agile', 'Business Intelligence', 'Communication', 'Financial Modelling', 'Forecasting', 'Microsoft Office', 'Pivot Tables', 'Power BI']",8,-1.18
5,Data Analyst,Barclays,Finance,London,33000.0,39000.0,1 year,STEM degree preferred,AWS;Agile;Business Intelligence;Communication;Data Analysis;JIRA,Office,No,2024-04-01,139,Entry Level,36000.0,True,1,1,"['AWS', 'Agile', 'Business Intelligence', 'Communication', 'Data Analysis', 'JIRA']",6,0.29
6,Junior Business Analyst,JPMorgan UK,Finance,Manchester,28000.0,31000.0,2+ years,Mathematics,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Data Analysis;Forecasting,Hybrid,No,2026-06-01,194,Graduate,29500.0,True,1,0,"['Agile', 'Business Intelligence', 'ChatGPT/AI Tools', 'Communication', 'Data Analysis', 'Forecasting']",6,-1.18
7,Business Analyst,Morgan Stanley UK,Finance,London,36000.0,41000.0,<1 year,Business & Management,AWS;Communication;Confluence;Data Analysis,Remote,No,2024-02-01,442,Entry Level,38500.0,True,0,1,"['AWS', 'Communication', 'Confluence', 'Data Analysis']",4,0.86
8,Business Intelligence Analyst,TechAnalytics Ltd,Technology,Glasgow,31000.0,35000.0,<1 year,Statistics,Agile;Confluence;Copilot;DAX;Data Analysis;Forecasting,Hybrid,No,2025-06-01,263,Entry Level,33000.0,True,0,0,"['Agile', 'Confluence', 'Copilot', 'DAX', 'Data Analysis', 'Forecasting']",6,-0.39
9,Data Analyst,Goldman Sachs UK,Finance,London,37000.0,41000.0,1-2 years,STEM degree preferred,Agile;Communication;Data Analysis;Financial Modelling;JIRA;KPI Reporting;Microsoft Excel,Hybrid,No,2026-02-01,754,Entry Level,39000.0,True,1,1,"['Agile', 'Communication', 'Data Analysis', 'Financial Modelling', 'JIRA', 'KPI Reporting', 'Microsoft Excel']",7,0.97
10,Operations Analyst,EY,Consulting,London,37000.0,44000.0,1-2 years,STEM degree preferred,AWS;Agile;Business Intelligence;Communication;Confluence;DAX;Data Analysis,Hybrid,No,2025-03-01,841,Entry Level,40500.0,True,1,1,"['AWS', 'Agile', 'Business Intelligence', 'Communication', 'Confluence', 'DAX', 'Data Analysis']",7,1.31
11,Insight Analyst,Experian,Finance,London,31000.0,36000.0,1 year,Statistics,Azure;Business Intelligence;Communication;Confluence;Data Analysis,Hybrid,Yes,2025-11-01,494,Entry Level,33500.0,True,1,1,"['Azure', 'Business Intelligence', 'Communication', 'Confluence', 'Data Analysis']",5,-0.27
12,Junior Data Analyst,DataCo Ltd,Technology,London,31000.0,38000.0,1-2 years,Computer Science,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Confluence;Data Analysis,Office,No,2025-03-01,398,Graduate,34500.0,True,1,1,"['Agile', 'Business Intelligence', 'ChatGPT/AI Tools', 'Communication', 'Confluence', 'Data Analysis']",6,-0.05
13,Business Analyst,Barclays,Finance,London,37000.0,43000.0,1-2 years,Economics,Agile;Communication;Data Analysis;Forecasting;JIRA,Hybrid,No,2026-05-01,704,Entry Level,40000.0,True,1,1,"['Agile', 'Communication', 'Data Analysis', 'Forecasting', 'JIRA']",5,1.2
15,Data Analyst,HMRC,Public Sector,London,25000.0,29000.0,<1 year,2:1 or above any subject,AWS;Agile;DAX;Data Analysis;Forecasting;JIRA;KPI Reporting,Flexible,No,2025-10-01,837,Entry Level,27000.0,True,0,1,"['AWS', 'Agile', 'DAX', 'Data Analysis', 'Forecasting', 'JIRA', 'KPI Reporting']",7,-1.75
17,Business Analyst,BlackRock UK,Finance,Sheffield,38000.0,43000.0,1-2 years,Mathematics,Agile;Communication;Confluence;DAX;Forecasting;JIRA;Microsoft Excel,Hybrid,No,2024-12-01,288,Entry Level,40500.0,True,1,0,"['Agile', 'Communication', 'Confluence', 'DAX', 'Forecasting', 'JIRA', 'Microsoft Excel']",7,1.31
