period,year,quarter,employment_rate_pct,unemployment_rate_pct,inactivity_rate_pct,employed_thousands,employment_gap_vs_2019,total_vacancies_thousands,vacancies_vs_prepandemic_pct,qoq_change_pct,gdp_growth_pct,gdp_gbp_billions,recession_indicator,avg_cpi_pct,avg_base_rate_pct
2019Q1,2019,Q1,76.1,3.9,21.4,32614,-0.5,820,100.0,,0.5,2197.4,0,1.87,0.75
2019Q2,2019,Q2,76.4,3.8,21.2,32721,-0.19999999999998863,836,102.0,1.95,0.6,2210.6,0,2.03,0.75
2019Q3,2019,Q3,76.4,3.9,21.1,32758,-0.19999999999998863,819,99.9,-2.03,0.4,2219.5,0,1.83,0.75
2019Q4,2019,Q4,76.6,3.9,21.0,32842,0.0,802,97.8,-2.08,0.1,2221.7,0,1.43,0.75
2020Q1,2020,Q1,76.6,4.0,21.0,32821,0.0,810,98.8,1.0,-2.8,2159.4,0,1.67,0.53
2020Q2,2020,Q2,74.8,4.1,22.6,32041,-1.7999999999999972,476,58.0,-41.23,-19.8,1732.8,1,0.63,0.1
2020Q3,2020,Q3,74.4,4.8,22.3,31890,-2.1999999999999886,648,79.0,36.13,17.6,2037.8,0,0.57,0.1
2020Q4,2020,Q4,74.7,5.0,21.8,32015,-1.8999999999999915,752,91.7,16.05,1.2,2062.2,0,0.53,0.1
2021Q1,2021,Q1,74.9,4.9,21.7,32102,-1.6999999999999886,840,102.4,11.7,-1.1,2039.4,0,0.6,0.1
2021Q2,2021,Q2,75.1,4.8,21.6,32198,-1.5,953,116.2,13.45,5.6,2153.7,0,2.03,0.1
2021Q3,2021,Q3,75.5,4.3,21.7,32394,-1.0999999999999943,1102,134.4,15.63,1.3,2181.8,0,2.77,0.1
2021Q4,2021,Q4,75.5,4.1,21.9,32401,-1.0999999999999943,1230,150.0,11.62,1.4,2212.3,0,4.9,0.1
2022Q1,2022,Q1,75.7,3.8,22.0,32490,-0.8999999999999915,1287,157.0,4.63,0.8,2229.9,0,6.23,0.28
2022Q2,2022,Q2,75.9,3.8,21.8,32578,-0.6999999999999886,1295,157.9,0.62,-0.1,2227.7,0,9.17,0.92
2022Q3,2022,Q3,75.5,3.5,22.4,32412,-1.0999999999999943,1211,147.7,-6.49,-0.1,2225.5,1,10.03,1.75
2022Q4,2022,Q4,75.6,3.7,22.2,32456,-1.0,1149,140.1,-5.12,0.1,2227.7,0,10.77,2.92
2023Q1,2023,Q1,75.8,3.8,22.0,32534,-0.7999999999999972,1109,135.2,-3.48,0.1,2229.9,0,10.2,3.92
2023Q2,2023,Q2,75.7,4.2,21.6,32490,-0.8999999999999915,1034,126.1,-6.76,-0.1,2227.7,0,8.43,4.58
2023Q3,2023,Q3,75.6,4.3,21.6,32451,-1.0,989,120.6,-4.35,-0.1,2225.5,1,6.73,5.17
2023Q4,2023,Q4,74.8,4.2,22.4,32104,-1.7999999999999972,948,115.6,-4.15,0.3,2232.2,0,4.17,5.25
2024Q1,2024,Q1,74.5,4.2,22.7,31984,-2.0999999999999943,908,110.7,-4.22,0.7,2247.8,0,3.53,5.25
2024Q2,2024,Q2,74.4,4.4,22.6,31945,-2.1999999999999886,884,107.8,-2.64,0.5,2259.0,0,2.1,5.25
2024Q3,2024,Q3,74.8,4.3,22.3,32094,-1.7999999999999972,871,106.2,-1.47,0.3,2265.8,0,2.03,5.08
2024Q4,2024,Q4,75.1,4.4,22.0,32231,-1.5,856,104.4,-1.72,0.4,2274.9,0,2.47,4.83
2025Q1,2025,Q1,75.3,4.5,21.7,32317,-1.2999999999999972,842,102.7,-1.64,0.6,2288.5,0,2.8,4.58
2025Q2,2025,Q2,75.5,4.4,21.6,32404,-1.0999999999999943,851,103.8,1.07,0.5,2299.9,0,3.47,4.33
2025Q3,2025,Q3,75.4,4.3,21.8,32361,-1.1999999999999886,863,105.2,1.41,0.6,2313.8,0,2.83,4.08
2025Q4,2025,Q4,75.6,4.2,21.7,32447,-1.0,879,107.2,1.85,0.5,2325.4,0,2.5,3.83
2026Q1,2026,Q1,75.7,4.4,21.4,32491,-0.8999999999999915,893,108.9,1.59,0.6,2339.3,0,2.33,3.58
