period,year,quarter,total_vacancies_thousands,finance_vacancies,technology_vacancies,healthcare_vacancies,retail_vacancies,manufacturing_vacancies,hospitality_vacancies,professional_services_vacancies,public_admin_vacancies,note,period_dt,vacancies_vs_peak_pct,vacancies_vs_prepandemic_pct,qoq_change_thousands,qoq_change_pct
2019Q1,2019,Q1,820,89,72,134,98,67,89,112,78,Pre-pandemic baseline,2019-01-01,63.3,100.0,,
2019Q2,2019,Q2,836,91,74,138,101,68,91,115,79,Pre-pandemic baseline,2019-04-01,64.6,102.0,16.0,1.95
2019Q3,2019,Q3,819,88,73,135,99,67,88,113,78,Pre-pandemic baseline,2019-07-01,63.2,99.9,-17.0,-2.03
2019Q4,2019,Q4,802,86,71,132,97,66,86,111,76,Pre-pandemic baseline,2019-10-01,61.9,97.8,-17.0,-2.08
2020Q1,2020,Q1,810,87,72,133,98,66,87,112,77,Pre-COVID,2020-01-01,62.5,98.8,8.0,1.0
2020Q2,2020,Q2,476,39,58,89,42,34,12,68,56,COVID crash - hospitality collapse,2020-04-01,36.8,58.0,-334.0,-41.23
2020Q3,2020,Q3,648,54,67,112,61,48,31,89,67,Partial recovery - lockdown easing,2020-07-01,50.0,79.0,172.0,36.13
2020Q4,2020,Q4,752,67,71,121,74,56,48,98,72,Continued recovery - vaccine hopes,2020-10-01,58.1,91.7,104.0,16.05
2021Q1,2021,Q1,840,78,79,128,82,61,54,109,76,Strong rebound,2021-01-01,64.9,102.4,88.0,11.7
2021Q2,2021,Q2,953,89,88,139,94,68,67,121,81,Economy reopening - hiring surge,2021-04-01,73.6,116.2,113.0,13.45
2021Q3,2021,Q3,1102,98,98,148,104,74,89,138,87,Record high approach - labour shortages,2021-07-01,85.1,134.4,149.0,15.63
2021Q4,2021,Q4,1230,108,107,157,113,79,102,151,92,Near record - businesses scrambling to hire,2021-10-01,95.0,150.0,128.0,11.62
2022Q1,2022,Q1,1287,112,111,162,118,82,108,158,95,Record-level vacancies,2022-01-01,99.4,157.0,57.0,4.63
2022Q2,2022,Q2,1295,113,112,163,119,83,109,159,96,PEAK - 1.295 million open roles,2022-04-01,100.0,157.9,8.0,0.62
2022Q3,2022,Q3,1211,107,107,156,113,79,103,153,92,First decline - rate hikes begin,2022-07-01,93.5,147.7,-84.0,-6.49
2022Q4,2022,Q4,1149,102,103,151,108,76,98,148,89,Continued decline,2022-10-01,88.7,140.1,-62.0,-5.12
2023Q1,2023,Q1,1109,98,101,148,105,74,94,145,87,Businesses pause hiring,2023-01-01,85.6,135.2,-40.0,-3.48
2023Q2,2023,Q2,1034,92,96,141,99,71,87,138,84,Rate at 5% - confidence falls,2023-04-01,79.8,126.1,-75.0,-6.76
2023Q3,2023,Q3,989,89,93,138,96,69,83,135,82,Technical recession period,2023-07-01,76.4,120.6,-45.0,-4.35
2023Q4,2023,Q4,948,86,91,135,93,67,79,132,80,Lowest since recovery - graduate hiring hit hard,2023-10-01,73.2,115.6,-41.0,-4.15
2024Q1,2024,Q1,908,83,89,133,91,66,76,129,79,Further decline,2024-01-01,70.1,110.7,-40.0,-4.22
2024Q2,2024,Q2,884,81,88,131,89,65,74,127,78,Bottom of correction,2024-04-01,68.3,107.8,-24.0,-2.64
2024Q3,2024,Q3,871,80,87,130,88,65,73,126,78,Rate cuts begin - floor forming,2024-07-01,67.3,106.2,-13.0,-1.47
2024Q4,2024,Q4,856,79,86,129,87,64,72,125,77,Stabilisation,2024-10-01,66.1,104.4,-15.0,-1.72
2025Q1,2025,Q1,842,78,86,128,87,64,72,125,77,Bottom - early signs of recovery,2025-01-01,65.0,102.7,-14.0,-1.64
2025Q2,2025,Q2,851,79,87,129,88,65,73,126,78,Turning point - rate cuts feeding through,2025-04-01,65.7,103.8,9.0,1.07
2025Q3,2025,Q3,863,80,88,130,89,65,74,127,79,Recovery firming,2025-07-01,66.6,105.2,12.0,1.41
2025Q4,2025,Q4,879,81,89,132,90,66,75,129,80,Positive trend,2025-10-01,67.9,107.2,16.0,1.85
2026Q1,2026,Q1,893,82,90,133,91,67,76,130,81,Recovery continuing - still 30% below 2022 peak,2026-01-01,69.0,108.9,14.0,1.59
