year,month,period,base_rate_pct,note
2019,1,2019-01,0.75,
2019,2,2019-02,0.75,
2019,3,2019-03,0.75,
2019,4,2019-04,0.75,
2019,5,2019-05,0.75,
2019,6,2019-06,0.75,
2019,7,2019-07,0.75,
2019,8,2019-08,0.75,
2019,9,2019-09,0.75,
2019,10,2019-10,0.75,
2019,11,2019-11,0.75,
2019,12,2019-12,0.75,
2020,1,2020-01,0.75,
2020,2,2020-02,0.75,
2020,3,2020-03,0.1,Emergency cut to 0.1%
2020,4,2020-04,0.1,
2020,5,2020-05,0.1,
2020,6,2020-06,0.1,
2020,7,2020-07,0.1,
2020,8,2020-08,0.1,
2020,9,2020-09,0.1,
2020,10,2020-10,0.1,
2020,11,2020-11,0.1,
2020,12,2020-12,0.1,
2021,1,2021-01,0.1,
2021,2,2021-02,0.1,
2021,3,2021-03,0.1,
2021,4,2021-04,0.1,
2021,5,2021-05,0.1,
2021,6,2021-06,0.1,
2021,7,2021-07,0.1,
2021,8,2021-08,0.1,
2021,9,2021-09,0.1,
2021,10,2021-10,0.1,
2021,11,2021-11,0.1,
2021,12,2021-12,0.1,
2022,1,2022-01,0.1,
2022,2,2022-02,0.25,Rate hike cycle begins
2022,3,2022-03,0.5,
2022,4,2022-04,0.5,
2022,5,2022-05,1.0,
2022,6,2022-06,1.25,
2022,7,2022-07,1.25,
2022,8,2022-08,1.75,
2022,9,2022-09,2.25,
2022,10,2022-10,2.25,
2022,11,2022-11,3.0,
2022,12,2022-12,3.5,
2023,1,2023-01,3.5,
2023,2,2023-02,4.0,
2023,3,2023-03,4.25,
2023,4,2023-04,4.25,
2023,5,2023-05,4.5,
2023,6,2023-06,5.0,
2023,7,2023-07,5.0,
2023,8,2023-08,5.25,Peak rate 5.25%
2023,9,2023-09,5.25,
2023,10,2023-10,5.25,
2023,11,2023-11,5.25,
2023,12,2023-12,5.25,
2024,1,2024-01,5.25,
2024,2,2024-02,5.25,
2024,3,2024-03,5.25,
2024,4,2024-04,5.25,
2024,5,2024-05,5.25,
2024,6,2024-06,5.25,
2024,7,2024-07,5.25,
2024,8,2024-08,5.0,First cut
2024,9,2024-09,5.0,
2024,10,2024-10,5.0,
2024,11,2024-11,4.75,
2024,12,2024-12,4.75,
2025,1,2025-01,4.75,
2025,2,2025-02,4.5,
2025,3,2025-03,4.5,
2025,4,2025-04,4.5,
2025,5,2025-05,4.25,
2025,6,2025-06,4.25,
2025,7,2025-07,4.25,
2025,8,2025-08,4.0,
2025,9,2025-09,4.0,
2025,10,2025-10,4.0,
2025,11,2025-11,3.75,
2025,12,2025-12,3.75,
2026,1,2026-01,3.75,
2026,2,2026-02,3.5,
2026,3,2026-03,3.5,
2026,4,2026-04,3.5,
2026,5,2026-05,3.25,
2026,6,2026-06,3.25,
