cohort_year,degree_subject,full_time_employed_pct,unemployed_pct,further_study_pct,median_salary_gbp,avg_applications_before_offer,avg_weeks_to_offer,notes
2018,Business & Management,71.2,5.8,14.2,24500,18,12,Pre-pandemic baseline
2018,Computer Science,74.1,4.2,12.8,26800,12,9,Strong demand pre-COVID
2018,Economics,69.8,6.1,15.4,25200,22,14,
2018,Mathematics & Statistics,67.4,5.9,18.2,26100,19,12,
2018,All subjects,65.3,6.2,18.9,23800,20,13,
2019,Business & Management,72.1,5.4,13.8,24800,19,12,Final pre-pandemic cohort
2019,Computer Science,75.2,4.0,12.1,27200,11,8,
2019,Economics,70.4,5.8,15.1,25600,21,13,
2019,Mathematics & Statistics,68.1,5.6,18.0,26400,18,11,
2019,All subjects,66.1,5.9,18.4,24100,19,12,
2020,Business & Management,58.2,12.1,18.4,23200,67,24,COVID cohort - catastrophic outcomes
2020,Computer Science,64.1,8.9,16.2,25800,34,18,Tech more resilient
2020,Economics,55.8,13.2,19.8,23800,72,27,
2020,Mathematics & Statistics,59.4,11.8,21.2,25100,58,22,
2020,All subjects,54.2,13.4,20.8,22600,71,25,Worst graduate outcomes since 2008
2021,Business & Management,61.4,10.2,17.8,23600,52,21,Partial recovery
2021,Computer Science,67.8,7.4,15.1,26400,28,15,
2021,Economics,58.9,11.6,19.2,24200,61,23,
2021,Mathematics & Statistics,62.1,10.1,20.4,25600,47,19,
2021,All subjects,57.8,11.9,19.8,23100,58,22,
2022,Business & Management,65.8,8.4,16.2,24800,44,19,Recovery continues
2022,Computer Science,71.2,5.8,14.1,28100,21,12,Strong demand for tech
2022,Economics,62.4,9.8,18.1,25400,51,20,
2022,Mathematics & Statistics,66.4,8.2,18.9,27200,38,16,
2022,All subjects,61.2,10.1,19.4,24200,48,20,
2023,Business & Management,59.4,11.8,17.4,26100,89,28,Rate shock - hiring freeze hits
2023,Computer Science,66.8,7.9,15.2,29800,41,17,
2023,Economics,56.8,13.1,19.8,26800,98,31,
2023,Mathematics & Statistics,61.2,11.4,20.1,28400,76,25,
2023,All subjects,55.8,13.2,20.4,25200,94,29,2nd worst since COVID
2024,Business & Management,57.2,13.4,17.8,27200,124,34,Worst since 2020 - experience paradox
2024,Computer Science,64.1,9.2,16.1,31200,58,21,AI demand but competition high
2024,Economics,54.8,14.2,19.8,28100,138,38,
2024,Mathematics & Statistics,59.8,12.1,20.8,29800,108,31,
2024,All subjects,53.2,14.8,20.9,26800,131,35,Graduate employment crisis deepens
