year,month,period,cpi_pct,boe_target_pct,above_target,note
2019,1,2019-01,1.8,2.0,No,Pre-pandemic baseline
2019,2,2019-02,1.9,2.0,No,
2019,3,2019-03,1.9,2.0,No,
2019,4,2019-04,2.1,2.0,Yes,
2019,5,2019-05,2.0,2.0,No,
2019,6,2019-06,2.0,2.0,No,
2019,7,2019-07,2.1,2.0,Yes,
2019,8,2019-08,1.7,2.0,No,
2019,9,2019-09,1.7,2.0,No,
2019,10,2019-10,1.5,2.0,No,
2019,11,2019-11,1.5,2.0,No,
2019,12,2019-12,1.3,2.0,No,
2020,1,2020-01,1.8,2.0,No,Pre-COVID
2020,2,2020-02,1.7,2.0,No,
2020,3,2020-03,1.5,2.0,No,COVID lockdown begins
2020,4,2020-04,0.8,2.0,No,Demand collapse
2020,5,2020-05,0.5,2.0,No,
2020,6,2020-06,0.6,2.0,No,
2020,7,2020-07,1.0,2.0,No,
2020,8,2020-08,0.2,2.0,No,
2020,9,2020-09,0.5,2.0,No,
2020,10,2020-10,0.7,2.0,No,
2020,11,2020-11,0.3,2.0,No,
2020,12,2020-12,0.6,2.0,No,
2021,1,2021-01,0.7,2.0,No,Vaccine rollout
2021,2,2021-02,0.4,2.0,No,
2021,3,2021-03,0.7,2.0,No,
2021,4,2021-04,1.5,2.0,No,Base effects kick in
2021,5,2021-05,2.1,2.0,Yes,
2021,6,2021-06,2.5,2.0,Yes,
2021,7,2021-07,2.0,2.0,No,
2021,8,2021-08,3.2,2.0,Yes,Energy prices rising
2021,9,2021-09,3.1,2.0,Yes,
2021,10,2021-10,4.2,2.0,Yes,Supply chain crisis
2021,11,2021-11,5.1,2.0,Yes,
2021,12,2021-12,5.4,2.0,Yes,
2022,1,2022-01,5.5,2.0,Yes,Rate hike imminent
2022,2,2022-02,6.2,2.0,Yes,
2022,3,2022-03,7.0,2.0,Yes,Ukraine war - energy shock
2022,4,2022-04,9.0,2.0,Yes,
2022,5,2022-05,9.1,2.0,Yes,
2022,6,2022-06,9.4,2.0,Yes,
2022,7,2022-07,10.1,2.0,Yes,
2022,8,2022-08,9.9,2.0,Yes,
2022,9,2022-09,10.1,2.0,Yes,
2022,10,2022-10,11.1,2.0,Yes,PEAK INFLATION
2022,11,2022-11,10.7,2.0,Yes,
2022,12,2022-12,10.5,2.0,Yes,
2023,1,2023-01,10.1,2.0,Yes,Slow decline begins
2023,2,2023-02,10.4,2.0,Yes,
2023,3,2023-03,10.1,2.0,Yes,
2023,4,2023-04,8.7,2.0,Yes,
2023,5,2023-05,8.7,2.0,Yes,
2023,6,2023-06,7.9,2.0,Yes,
2023,7,2023-07,6.8,2.0,Yes,
2023,8,2023-08,6.7,2.0,Yes,
2023,9,2023-09,6.7,2.0,Yes,
2023,10,2023-10,4.6,2.0,Yes,
2023,11,2023-11,3.9,2.0,Yes,
2023,12,2023-12,4.0,2.0,Yes,
2024,1,2024-01,4.0,2.0,Yes,Rate cuts approaching
2024,2,2024-02,3.4,2.0,Yes,
2024,3,2024-03,3.2,2.0,Yes,
2024,4,2024-04,2.3,2.0,Yes,
2024,5,2024-05,2.0,2.0,No,BoE target reached
2024,6,2024-06,2.0,2.0,No,
2024,7,2024-07,2.2,2.0,Yes,
2024,8,2024-08,2.2,2.0,Yes,
2024,9,2024-09,1.7,2.0,No,
2024,10,2024-10,2.3,2.0,Yes,
2024,11,2024-11,2.6,2.0,Yes,
2024,12,2024-12,2.5,2.0,Yes,
2025,1,2025-01,3.0,2.0,Yes,Energy price reset
2025,2,2025-02,2.8,2.0,Yes,
2025,3,2025-03,2.6,2.0,Yes,
2025,4,2025-04,3.5,2.0,Yes,Utility bills reset Apr
2025,5,2025-05,3.5,2.0,Yes,
2025,6,2025-06,3.4,2.0,Yes,
2025,7,2025-07,3.0,2.0,Yes,
2025,8,2025-08,2.8,2.0,Yes,
2025,9,2025-09,2.7,2.0,Yes,
2025,10,2025-10,2.6,2.0,Yes,
2025,11,2025-11,2.5,2.0,Yes,
2025,12,2025-12,2.4,2.0,Yes,
2026,1,2026-01,2.4,2.0,Yes,Approaching target
2026,2,2026-02,2.3,2.0,Yes,
2026,3,2026-03,2.3,2.0,Yes,
2026,4,2026-04,2.4,2.0,Yes,
2026,5,2026-05,2.3,2.0,Yes,
2026,6,2026-06,2.3,2.0,Yes,Current
