year,quarter,period,avg_weekly_earnings_nominal_gbp,avg_weekly_earnings_real_gbp_2019prices,annual_salary_nominal_gbp,annual_salary_real_gbp,note
2019,Q1,2019Q1,519,516,26988,26832,Pre-pandemic
2019,Q2,2019Q2,521,518,27092,26936,
2019,Q3,2019Q3,524,521,27248,27092,
2019,Q4,2019Q4,527,524,27404,27248,
2020,Q1,2020Q1,521,518,27092,26936,COVID impact on pay
2020,Q2,2020Q2,498,481,25896,25012,Furlough - reduced hours
2020,Q3,2020Q3,514,496,26728,25792,Partial recovery
2020,Q4,2020Q4,519,501,26988,26052,
2021,Q1,2021Q1,536,517,27872,26884,Base effects - appear high
2021,Q2,2021Q2,554,534,28808,27768,Strong nominal growth
2021,Q3,2021Q3,540,521,28080,27092,
2021,Q4,2021Q4,545,526,28340,27352,
2022,Q1,2022Q1,553,503,28756,26156,Real pay starts FALLING - inflation outpaces
2022,Q2,2022Q2,561,489,29172,25428,Real wages in sharp decline
2022,Q3,2022Q3,558,478,29016,24856,Real wage at post-pandemic low
2022,Q4,2022Q4,565,484,29380,25168,
2023,Q1,2023Q1,579,487,30108,25324,Nominal rising but real still low
2023,Q2,2023Q2,594,497,30888,25844,
2023,Q3,2023Q3,611,512,31772,26624,Real recovery begins
2023,Q4,2023Q4,619,519,32188,26988,
2024,Q1,2024Q1,624,524,32448,27248,Real wages recovering
2024,Q2,2024Q2,628,531,32656,27612,
2024,Q3,2024Q3,635,538,33020,27976,
2024,Q4,2024Q4,641,545,33332,28340,
2025,Q1,2025Q1,651,551,33852,28652,Above pre-pandemic in real terms
2025,Q2,2025Q2,658,558,34216,29016,
2025,Q3,2025Q3,665,565,34580,29380,
2025,Q4,2025Q4,671,571,34892,29692,
2026,Q1,2026Q1,678,577,35256,30004,Current - real wages now above 2019
