year,quarter,period,gdp_growth_pct,gdp_gbp_billions,above_pre_covid,note
2019,Q1,2019Q1,0.5,2197.4,No,Steady growth
2019,Q2,2019Q2,0.6,2210.6,No,
2019,Q3,2019Q3,0.4,2219.5,No,
2019,Q4,2019Q4,0.1,2221.7,No,Slowdown pre-election
2020,Q1,2020Q1,-2.8,2159.4,No,COVID lockdown begins Q1
2020,Q2,2020Q2,-19.8,1732.8,No,LARGEST EVER QUARTERLY FALL
2020,Q3,2020Q3,17.6,2037.8,No,Eat Out to Help Out - bounce
2020,Q4,2020Q4,1.2,2062.2,No,Second lockdown partial recovery
2021,Q1,2021Q1,-1.1,2039.4,No,Third lockdown Jan-Mar 2021
2021,Q2,2021Q2,5.6,2153.7,No,Rapid reopening
2021,Q3,2021Q3,1.3,2181.8,No,Strong growth continues
2021,Q4,2021Q4,1.4,2212.3,No,Pre-inflation boom
2022,Q1,2022Q1,0.8,2229.9,Yes,Rate hikes begin Feb 2022
2022,Q2,2022Q2,-0.1,2227.7,Yes,First negative quarter
2022,Q3,2022Q3,-0.1,2225.5,Yes,Second negative quarter - technical recession avoided (revised)
2022,Q4,2022Q4,0.1,2227.7,Yes,Narrow escape from recession
2023,Q1,2023Q1,0.1,2229.9,Yes,Stagnation
2023,Q2,2023Q2,-0.1,2227.7,Yes,Rate at 5% - activity slows
2023,Q3,2023Q3,-0.1,2225.5,Yes,TECHNICAL RECESSION confirmed Q2+Q3 2023
2023,Q4,2023Q4,0.3,2232.2,Yes,Exit recession
2024,Q1,2024Q1,0.7,2247.8,Yes,Recovery - rate cuts expected
2024,Q2,2024Q2,0.5,2259.0,Yes,
2024,Q3,2024Q3,0.3,2265.8,Yes,Rate cuts begin Aug 2024
2024,Q4,2024Q4,0.4,2274.9,Yes,
2025,Q1,2025Q1,0.6,2288.5,Yes,
2025,Q2,2025Q2,0.5,2299.9,Yes,
2025,Q3,2025Q3,0.6,2313.8,Yes,
2025,Q4,2025Q4,0.5,2325.4,Yes,
2026,Q1,2026Q1,0.6,2339.3,Yes,Current - recovery on track
