posting_id,job_title,company,sector,city,salary_min_gbp,salary_max_gbp,experience_required,degree_required,skills_required,working_arrangement,visa_sponsorship,date_posted,applicant_count,level
1,Data Analyst,Lloyds Banking Group,Finance,London,32000,36000,2 years,Finance,Communication;Confluence;DAX;Data Analysis;KPI Reporting;Machine Learning;Microsoft Excel;Microsoft Office,Office,No,2024-04,871,Entry Level
2,Graduate Business Analyst,HMRC,Public Sector,London,29000,32000,0-1 years,2:1 or above any subject,ChatGPT/AI Tools;Communication;Confluence;DAX;Data Analysis;Forecasting;Power BI;PowerPoint,Hybrid,No,2025-03,601,Graduate
3,Graduate Business Analyst,Aviva,Finance,Birmingham,29000,33000,1 year,Economics,Agile;Business Intelligence;Confluence;Copilot;Data Analysis;Financial Modelling,Flexible,No,2026-03,162,Graduate
4,Financial Analyst,Accenture,Consulting,London,28000,31000,0-1 years,2:1 or above any subject,Agile;Business Intelligence;Communication;Financial Modelling;Forecasting;Microsoft Office;Pivot Tables;Power BI,Office,No,2025-07,274,Entry Level
5,Data Analyst,Barclays,Finance,London,33000,39000,1 year,STEM degree preferred,AWS;Agile;Business Intelligence;Communication;Data Analysis;JIRA,Office,No,2024-04,139,Entry Level
6,Junior Business Analyst,JPMorgan UK,Finance,Manchester,28000,31000,2 years,Mathematics,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Data Analysis;Forecasting,Hybrid,No,2026-06,194,Graduate
7,Business Analyst,Morgan Stanley UK,Finance,London,36000,41000,0-1 years,Business & Management,AWS;Communication;Confluence;Data Analysis,Remote,No,2024-02,442,Entry Level
8,Business Intelligence Analyst,TechAnalytics Ltd,Technology,Glasgow,31000,35000,0-1 years,Statistics,Agile;Confluence;Copilot;DAX;Data Analysis;Forecasting,Hybrid,No,2025-06,263,Entry Level
9,Data Analyst,Goldman Sachs UK,Finance,London,37000,41000,1-2 years,STEM degree preferred,Agile;Communication;Data Analysis;Financial Modelling;JIRA;KPI Reporting;Microsoft Excel,Hybrid,No,2026-02,754,Entry Level
10,Operations Analyst,EY,Consulting,London,37000,44000,1-2 years,STEM degree preferred,AWS;Agile;Business Intelligence;Communication;Confluence;DAX;Data Analysis,Hybrid,No,2025-03,841,Entry Level
11,Insight Analyst,Experian,Finance,London,31000,36000,1 year,Statistics,Azure;Business Intelligence;Communication;Confluence;Data Analysis,Hybrid,Yes,2025-11,494,Entry Level
12,Junior Data Analyst,DataCo Ltd,Technology,London,31000,38000,1-2 years,Computer Science,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Confluence;Data Analysis,Office,No,2025-03,398,Graduate
13,Business Analyst,Barclays,Finance,London,37000,43000,1-2 years,Economics,Agile;Communication;Data Analysis;Forecasting;JIRA,Hybrid,No,2026-05,704,Entry Level
14,Management Consultant (Graduate),Santander UK,Finance,London,Not specified,Not specified,0-1 years,Mathematics,AWS;Agile;Azure;ChatGPT/AI Tools;Communication;Data Analysis;Financial Modelling;KPI Reporting;Microsoft Excel,Office,No,2025-09,691,Graduate
15,Data Analyst,HMRC,Public Sector,London,25000,29000,0-1 years,2:1 or above any subject,AWS;Agile;DAX;Data Analysis;Forecasting;JIRA;KPI Reporting,Flexible,No,2025-10,837,Entry Level
16,Commercial Analyst,Barclays,Finance,London,Not specified,Not specified,1-2 years,Engineering,Communication;DAX;Data Analysis;Financial Modelling,Office,No,2024-04,770,Entry Level
17,Business Analyst,BlackRock UK,Finance,Sheffield,38000,43000,1-2 years,Mathematics,Agile;Communication;Confluence;DAX;Forecasting;JIRA;Microsoft Excel,Hybrid,No,2024-12,288,Entry Level
18,Business Analyst,HSBC,Finance,Glasgow,37000,41000,1 year,Finance,AWS;Agile;Azure;Business Intelligence;Data Analysis;Financial Modelling;Forecasting,Hybrid,No,2025-06,136,Entry Level
19,Financial Analyst,Starling Bank,Finance,London,Not specified,Not specified,1-2 years,Mathematics,Agile;DAX;Data Analysis;Microsoft Excel,Office,No,2026-06,172,Entry Level
20,Data Analyst,BP,Energy,Birmingham,Not specified,Not specified,None,Engineering,Azure;Business Intelligence;Communication;DAX;Data Analysis;Financial Modelling;Microsoft Excel,Office,No,2026-03,51,Entry Level
21,Management Consultant (Graduate),Santander UK,Finance,London,37000,40000,1-2 years,Finance,AWS;Communication;Confluence;Data Analysis;Machine Learning;Microsoft Office,Office,No,2024-04,772,Graduate
22,Management Consultant (Graduate),DataCo Ltd,Technology,Glasgow,38000,41000,2 years,Economics,Agile;Business Intelligence;Communication;DAX;Data Analysis,Remote,No,2026-03,56,Graduate
23,Strategy Analyst,Starling Bank,Finance,London,35000,39000,0-1 years,Finance,Agile;Azure;Business Intelligence;ChatGPT/AI Tools,Office,No,2025-03,351,Entry Level
24,Graduate Data Analyst,Accenture,Consulting,Manchester,35000,38000,2 years,STEM degree preferred,Agile;Business Intelligence;ChatGPT/AI Tools;Communication;Confluence;DAX;KPI Reporting;Microsoft Excel;Microsoft Office,Office,No,2025-04,251,Graduate
25,Insight Analyst,Sky,Technology,London,30000,35000,2 years,2:1 or above any subject,Business Intelligence;Communication;Data Analysis;Financial Modelling;Forecasting;KPI Reporting;Microsoft Excel;Microsoft Office,Office,No,2024-11,790,Entry Level
26,Business Analyst,NHS,Public Sector,London,28000,33000,1 year,2:1 or above any subject,AWS;Agile;Business Intelligence;Confluence;Data Analysis,Hybrid,No,2026-02,862,Entry Level
27,Operations Analyst,Sainsburys,Retail,London,23000,29000,1-2 years,STEM degree preferred,AWS;Agile;Azure;Communication;Copilot;Data Analysis;KPI Reporting;Microsoft Excel,Hybrid,No,2025-12,740,Entry Level
28,Financial Analyst,NatWest,Finance,London,Not specified,Not specified,2 years,Any degree subject,Agile;Business Intelligence;Communication;Confluence;Data Analysis;KPI Reporting;Microsoft Excel;Microsoft Office;Power BI,Remote,No,2024-10,567,Entry Level
29,Graduate Data Analyst,Legal & General,Finance,London,35000,38000,0-1 years,Engineering,Agile;Business Intelligence;Data Analysis;JIRA,Office,No,2024-12,836,Graduate
30,Graduate Business Analyst,Metro Bank,Finance,London,34000,41000,2 years,Mathematics,Azure;Business Intelligence;Communication;DAX;Data Analysis;Forecasting;Microsoft Excel,Hybrid,No,2026-04,867,Graduate
