period,year,quarter,forecast,lo80,hi80,lo95,hi95,model,series
2026Q2,2026,Q2,75.8,74.9,76.7,74.4,77.2,ARIMA,Employment Rate (%)
2026Q3,2026,Q3,75.9,74.9,76.9,74.4,77.4,ARIMA,Employment Rate (%)
2026Q4,2026,Q4,76.0,74.9,77.1,74.3,77.7,ARIMA,Employment Rate (%)
2027Q1,2027,Q1,76.1,74.8,77.4,74.2,78.0,ARIMA,Employment Rate (%)
2027Q2,2027,Q2,76.2,74.7,77.7,74.1,78.3,ARIMA,Employment Rate (%)
2027Q3,2027,Q3,76.3,74.6,78.0,74.0,78.6,ARIMA,Employment Rate (%)
2027Q4,2027,Q4,76.4,74.5,78.3,73.9,78.9,ARIMA,Employment Rate (%)
2028Q1,2028,Q1,76.5,74.4,78.6,73.7,79.3,ARIMA,Employment Rate (%)
2028Q2,2028,Q2,76.6,74.3,78.9,73.6,79.6,ARIMA,Employment Rate (%)
2028Q3,2028,Q3,76.7,74.1,79.3,73.4,80.0,ARIMA,Employment Rate (%)
2028Q4,2028,Q4,76.8,74.0,79.6,73.3,80.3,ARIMA,Employment Rate (%)
2029Q1,2029,Q1,76.9,73.9,79.9,73.1,80.7,ARIMA,Employment Rate (%)
2029Q4,2029,Q4,77.0,73.7,80.3,72.9,81.1,ARIMA,Employment Rate (%)
2030Q1,2030,Q1,77.1,73.5,80.7,72.7,81.5,ARIMA,Employment Rate (%)
2030Q4,2030,Q4,77.3,73.3,81.3,72.3,82.3,ARIMA,Employment Rate (%)
