period,year,quarter,forecast,lo80,hi80,lo95,hi95,model,series
2026Q2,2026,Q2,905,875,935,845,965,ARIMA,Vacancies (000s)
2026Q3,2026,Q3,918,882,954,848,988,ARIMA,Vacancies (000s)
2026Q4,2026,Q4,932,889,975,851,1013,ARIMA,Vacancies (000s)
2027Q1,2027,Q1,946,895,997,853,1039,ARIMA,Vacancies (000s)
2027Q2,2027,Q2,960,900,1020,854,1066,ARIMA,Vacancies (000s)
2027Q3,2027,Q3,974,905,1043,855,1093,ARIMA,Vacancies (000s)
2027Q4,2027,Q4,988,910,1066,856,1120,ARIMA,Vacancies (000s)
2028Q1,2028,Q1,1002,914,1090,856,1148,ARIMA,Vacancies (000s)
2028Q2,2028,Q2,1016,917,1115,856,1176,ARIMA,Vacancies (000s)
2028Q3,2028,Q3,1030,920,1140,855,1205,ARIMA,Vacancies (000s)
2028Q4,2028,Q4,1044,923,1165,854,1234,ARIMA,Vacancies (000s)
2029Q1,2029,Q1,1058,925,1191,852,1264,ARIMA,Vacancies (000s)
2029Q2,2029,Q2,1072,927,1217,850,1294,ARIMA,Vacancies (000s)
2029Q3,2029,Q3,1086,929,1243,847,1325,ARIMA,Vacancies (000s)
2029Q4,2029,Q4,1100,930,1270,844,1356,ARIMA,Vacancies (000s)
2030Q1,2030,Q1,1114,931,1297,841,1387,ARIMA,Vacancies (000s)
2030Q2,2030,Q2,1128,932,1324,837,1419,ARIMA,Vacancies (000s)
2030Q3,2030,Q3,1142,932,1352,833,1451,ARIMA,Vacancies (000s)
